id,replied_by_pinol,parent_comment_id,text,author,no_of_replies
2196266340455823-1,True,0,The SAAD program is implemented only in the poorest provinces of the country.,MannyPiñol,6
2196266340455823-2,False,2196266340455823-1,This is good to know Sir Manny Pinol.,Pau Sey,0
2196266340455823-3,False,2196266340455823-1,Sir.naa ba pod ni ingon ani sa Cebu?,Tatsky Enriquez,0
2196266340455823-4,False,2196266340455823-1,"Sir,pwede bang humingi ng reading materials?",Josette Mendoza Nierves,0
2196266340455823-5,False,2196266340455823-1,Tatsky Enriquez cebu does not qualify because it is not a poor province.,MannyPiñol,0
2196266340455823-6,False,2196266340455823-1,"MannyPiñol ahh okay Sir..salamat sa reply..abi nako pwede na sa tanan labi na,sa member sa farmers association..amping kanunay Sir",Tatsky Enriquez,0
2196266340455823-7,False,2196266340455823-1,Sir how about Sultan Kudarat Province qualified po ba lalo na dito sa bayan ng Pres.Quirino isa po kasi and Pres. ng isang farmers association....,Markang Bungo Opena,0
2196266340455823-8,False,0,Awa mommy Anneil Moana,Daphodel Moaña Bongon,0
2196266340455823-9,False,0,very good program Gov. MannyPiñol,Ed P Delcalza,0
2196266340455823-10,False,0,Leo Dag Jam,Jeh Arz Lau,0
2196266340455823-11,False,0,How to avail of like this sir?,Pau Sey,0
2196266340455823-12,False,0,***Replied sticker/image***,Maria L. Bogg,0
2196266340455823-13,False,0,***Replied sticker/image***,Maria L. Bogg,0
2196266340455823-14,False,0,Wowww,Vie's Cornelio,0
2196266340455823-15,False,0,Congratulations,Alros Sagario,0
2196266340455823-16,False,0,***Replied sticker/image***,Nelly Pascual,0
2196266340455823-17,False,0,Congratulations,Georgie Lau,0
2196266340455823-18,False,0,Paano maka avail..or may seminar ba about this?...,Rolly Flores,0
